 ,Area,Mean,Min,Max,X,Y,R,Theta
1,0,254,254,254,2048,2048,4096.000,270.000
2,0,172,172,172,2075,2077,101.484,311.987
3,0,172,172,172,2009,2056,102.336,192.995
4,0,172,172,172,2087,2040,103.374,10.176
5,0,172,172,172,2021,2019,105.303,133.958
6,0,171,171,171,2035,2085,101.987,251.114
7,0,171,171,171,2061,2011,107.014,70.145
8,0,169,169,169,2065,2083,102.883,295.278
9,0,169,169,169,2025,2080,101.829,235.125
10,0,169,169,169,2071,2016,106.113,53.427
11,0,169,169,169,2031,2013,107.752,116.565
12,0,168,168,168,2088,2051,101.892,354.289
13,0,168,168,168,2008,2045,102.272,177.138
