 ,Area,Mean,Min,Max,X,Y,R,Theta
1,0,254,254,254,2048,2048,4096.000,270.000
2,0,171,171,171,2030,2083,101.766,243.435
3,0,171,171,171,2087,2054,103.374,349.824
4,0,171,171,171,2009,2042,104.173,172.694
5,0,171,171,171,2066,2013,106.470,62.103
6,0,170,170,170,2062,2085,101.144,290.225
7,0,170,170,170,2069,2082,100.351,300.964
8,0,170,170,170,2027,2014,104.716,122.471
9,0,170,170,170,2034,2011,106.041,111.251
10,0,169,169,169,2023,2079,100.867,232.001
11,0,169,169,169,2009,2050,104.716,184.399
12,0,169,169,169,2087,2046,104.991,1.469
13,0,169,169,169,2073,2017,104.888,50.194
