 ,Area,Mean,Min,Max,X,Y,R,Theta
1,0,254,254,254,2048,2048,4096.000,270.000
2,0,171,171,171,2087,2054,103.374,349.824
3,0,171,171,171,2009,2042,104.173,172.694
4,0,170,170,170,2061,2085,101.987,288.886
5,0,170,170,170,2086,2059,102.786,342.474
6,0,170,170,170,2010,2037,104.240,165.256
7,0,170,170,170,2035,2011,107.014,109.855
8,0,168,168,168,2058,2086,101.735,284.381
9,0,168,168,168,2022,2079,99.343,230.906
10,0,168,168,168,2074,2017,103.177,49.086
11,0,168,168,168,2038,2010,106.868,105.124
12,0,165,165,165,2020,2075,103.440,225.000
13,0,165,165,165,2077,2021,105.164,41.878
