 ,Area,Mean,Min,Max,Angle,Length
1,921.135,15546.559,12408.485,19578.000,-123.968,561.509
2,766.278,12899.096,8321.983,16129.008,-145.533,467.735
3,835.697,13998.704,11907.359,17365.586,5.894,509.232
4,798.317,11824.640,8871.411,14917.874,-30.436,487.058
5,1022.593,15000.057,12885.046,17566.271,-163.560,623.538
6,715.548,11100.336,9368.471,13194.390,-40.741,435.638
7,862.396,12027.770,8491.194,15557.115,-122.307,525.854
8,873.076,14669.597,13002.232,16591.406,-111.606,532.516
9,913.125,9486.095,7822.813,11270.454,15.992,557.527
10,806.327,12879.241,10026.271,15760.667,-64.799,491.201
11,870.406,10168.516,6875.897,14002.124,-3.884,530.635
12,736.908,14696.509,13147.720,16600.746,-107.578,449.077
13,950.505,13412.739,11034.883,15480.861,-162.636,580.374
14,803.657,12303.002,9475.351,14507.497,-121.095,490.402
15,886.426,13904.721,9869.902,16758.717,-42.553,541.227
16,950.505,11519.909,10153.214,13513.589,-16.344,580.659
17,995.894,10947.042,8170.607,15084.768,-95.250,607.127
18,841.036,13576.132,9890.300,17349.676,-91.824,513.336
19,1110.702,10933.479,8630.005,13876.000,-90.828,678.181
20,760.938,12024.878,9109.000,15837.535,-89.193,464.102
21,843.706,9253.262,6939.812,11302.538,-51.567,515.229
22,827.687,13678.039,10578.610,17015.398,-61.611,505.202
23,683.509,9537.923,7021.339,11579.694,10.164,416.673
24,929.145,12001.398,9249.724,15752.151,-132.896,566.534
25,918.465,14200.366,10466.357,17369.098,-165.478,560.393
26,865.066,11929.343,9821.290,14195.427,-86.800,526.970
27,950.505,13205.122,9548.381,16217.194,-39.063,580.822
28,867.736,14190.359,9952.223,17506.000,1.414,529.577
29,704.869,9240.709,7966.542,10676.699,-133.152,430.037
30,808.997,8319.017,6564.750,9999.138,-79.882,492.965
31,1027.933,12184.426,9508.811,16407.184,-37.496,628.147
32,937.155,9426.902,7983.914,11844.929,-90.818,571.958
33,784.967,12525.399,9193.138,15986.000,-3.723,478.137
34,691.519,11641.501,9949.488,13150.496,-165.641,421.673
35,838.366,6667.242,4635.715,9216.691,-104.036,512.024
36,875.746,9767.938,7153.000,12183.700,-71.621,533.768
37,913.125,14681.423,12262.874,17170.191,-120.329,556.568
38,979.874,13187.573,10318.979,16300.287,-46.440,597.537
39,811.667,14617.482,13042.867,15974.200,-80.102,494.290
40,918.465,6810.217,5109.822,9255.410,-63.360,561.214
41,870.406,15314.273,13008.157,17623.902,38.137,531.834
42,1166.771,9009.506,6387.963,13421.303,-1.314,712.611
43,923.805,12023.598,9513.502,16505.182,-135.939,563.917
44,707.539,9653.837,7521.389,12036.103,7.394,431.698
45,643.460,8033.034,5892.467,11375.758,-27.313,391.714
46,792.977,8339.859,7170.434,9973.955,-41.987,483.631
47,974.534,12869.400,10533.690,15675.997,21.626,594.111
48,792.977,9675.150,6405.033,13352.750,-22.233,483.675
49,1030.603,12746.845,9921.808,16319.556,-51.851,629.574
50,958.515,12587.693,9086.825,17130.363,-107.067,584.573
51,1084.003,7614.264,5090.834,12561.365,-127.974,661.239
52,899.775,8312.985,5862.183,12640.000,-142.619,549.046
53,630.110,4636.701,2579.936,6155.320,-61.584,384.574
54,686.179,7017.525,4072.877,9407.158,-22.051,417.822
55,859.726,4186.201,2693.421,7020.320,-125.621,524.639
56,710.209,8230.823,7020.231,9327.584,-110.758,433.364
57,632.780,10334.687,7732.030,13392.914,-83.177,385.084
58,659.479,4835.504,2848.549,6951.819,-65.209,401.372
59,1134.732,9331.066,5662.470,12793.654,-40.411,693.159
60,931.815,9515.543,7052.849,13016.146,-108.227,569.425
61,1019.924,14247.223,12051.729,18029.031,-4.214,622.603
62,776.957,15573.135,13363.000,19148.480,-36.870,473.860
63,800.987,3709.280,2430.463,5074.368,-157.557,487.940
64,1022.593,13434.680,11019.278,15941.411,-158.812,623.880
65,923.805,12824.439,10764.555,14942.713,-6.487,564.073
66,803.657,11014.155,8810.998,13597.260,-131.222,490.962
67,726.228,7732.987,6261.496,9439.376,-27.699,442.920
68,739.578,8684.384,6877.000,10191.255,-39.114,450.676
69,1014.584,13017.661,9913.977,17714.865,-120.420,619.614
70,1022.593,13818.239,11452.440,17100.502,-18.150,624.201
71,1070.653,8297.210,6410.833,10126.423,-14.488,653.128
72,1006.574,7457.630,6111.849,9295.798,-18.628,613.862
73,966.524,6505.091,4037.274,9842.071,-118.129,589.202
74,1075.993,12191.187,7303.723,17144.914,-143.700,656.901
75,955.845,6933.159,5682.834,8410.409,-84.864,584.049
76,1067.983,12973.750,11131.827,15013.403,-163.383,651.390
77,1073.323,15429.907,12422.041,18141.861,-82.396,654.453
78,910.455,16135.105,13665.462,18827.141,-59.962,554.925
79,1097.352,9900.501,7408.038,14199.631,-135.790,670.203
80,859.726,10605.324,8939.510,13087.579,-172.831,523.707
81,833.027,14508.806,11734.145,17400.113,-132.397,508.906
82,760.938,13978.236,11655.070,15304.259,-73.610,463.273
83,862.396,9011.236,7784.888,10782.222,-124.875,525.813
84,966.524,9592.149,7030.017,11580.533,-144.019,589.618
85,1022.593,12188.945,8753.042,14974.739,-119.521,623.426
86,995.894,16144.575,13200.600,19822.711,-108.825,607.672
87,1196.141,14650.848,10259.609,19834.721,-123.690,730.543
88,958.515,14621.833,12176.482,18534.506,-76.430,584.963
89,747.588,14890.019,12413.781,17321.572,-15.832,455.180
90,875.746,10955.446,8391.062,13286.130,-115.313,535.035
91,763.608,3093.478,2094.456,3862.231,-85.170,465.710
92,694.189,10075.009,7750.107,12227.192,-129.352,422.622
93,744.918,9799.859,8367.001,11524.916,-83.387,454.005
94,814.337,5427.476,4117.429,6583.050,-39.130,497.123
95,776.957,13027.061,11084.603,14651.543,-83.660,473.488
96,1025.263,11505.287,9479.113,13618.321,-21.468,625.069
97,771.618,8831.961,6945.667,10383.314,-33.690,471.318
98,953.175,12931.174,10623.530,15944.721,-21.084,581.410
99,1092.012,10863.241,9252.204,12945.873,-101.310,666.544
100,899.775,14248.563,11315.894,18862.902,-71.996,549.802
101,1124.052,14954.447,11969.468,18447.895,-98.207,686.778
102,1145.412,13529.363,10100.958,18212.291,-32.800,699.810
103,1118.712,13114.801,8995.183,16991.000,23.127,682.285
104,934.485,12261.440,8528.394,17683.779,-31.866,569.495
105,1180.121,15645.969,12878.855,18552.275,-3.641,720.414
106,1006.574,13015.243,10366.209,16133.817,-62.071,614.002
107,806.327,9478.844,7440.252,11082.819,-154.799,491.201
108,1009.244,12940.001,9484.541,18316.000,-37.235,615.704
109,755.598,11988.411,10028.145,14301.708,22.557,460.034
110,843.706,9390.797,4416.778,12844.081,-17.745,514.687
111,977.204,15271.204,13039.361,18565.600,-152.592,596.354
112,1075.993,6733.136,5105.656,8597.260,-10.305,657.672
113,969.194,7274.790,5118.159,9952.781,-120.530,591.860
