 ,Area,Mean,Min,Max,Angle,Length
1,280.038,9705.351,8339.038,11328.431,-82.071,280.724
2,247.498,9282.599,7833.302,11079.777,-134.513,247.870
3,257.359,9646.715,8245.543,11654.458,-170.030,258.106
4,247.498,9725.146,8033.816,12580.680,-177.938,248.411
5,277.080,9282.982,7835.472,10996.793,-83.230,277.992
6,235.666,9583.584,7694.611,12339.562,43.810,236.678
7,264.261,9699.553,7804.540,12001.599,-126.784,265.330
8,250.457,9826.968,7470.968,12287.502,-179.321,251.247
9,280.038,9356.758,7550.438,11475.823,-149.452,281.340
10,295.815,9458.223,7728.811,11472.087,-57.690,297.252
11,259.331,9403.731,8103.928,11162.067,149.523,260.395
12,336.243,9454.965,7692.393,11372.476,-166.740,337.686
13,250.457,9468.025,7748.010,11348.000,-128.094,251.088
14,255.387,8680.095,6858.329,10641.001,-112.586,255.965
15,227.777,9061.044,7716.072,10705.326,95.983,228.643
16,267.219,9306.653,7816.695,11209.285,139.514,267.650
17,228.764,9462.505,7914.799,11315.623,155.987,229.374
18,282.996,9365.040,7863.671,10818.770,-91.202,284.061
19,299.759,9391.176,7932.861,11166.689,-46.202,301.292
20,234.680,9043.892,7158.332,10562.008,38.320,235.416
21,309.620,8799.571,7460.117,10318.729,-95.492,311.245
22,210.029,9320.514,7894.939,10977.879,-59.452,211.005
23,228.764,8613.466,7201.444,10265.010,-22.906,229.615
24,245.526,9535.686,8122.963,11028.824,-168.147,246.556
25,297.787,9537.994,7981.828,11313.961,-31.945,298.406
26,241.582,9576.840,8149.800,11503.800,-60.604,242.766
27,225.805,9406.275,7840.860,11242.196,9.090,226.267
28,283.982,9118.134,7451.636,11030.299,-26.030,285.114
29,216.931,9453.761,8005.300,11233.000,-40.006,217.793
30,224.819,8068.843,6840.259,9480.471,-172.405,225.402
31,251.443,8743.640,7107.060,10671.837,14.365,252.161
32,265.247,9295.540,7743.816,10614.000,-63.435,266.450
33,272.150,9166.177,7871.525,10917.000,-143.881,272.900
34,271.164,9208.437,7993.858,11115.181,-42.780,271.939
35,310.606,9618.109,8119.552,12178.544,-128.403,311.715
36,271.164,9466.791,8069.878,11049.054,-120.211,272.330
37,229.750,9281.713,7900.315,11234.668,-61.449,230.618
38,286.940,9293.135,8085.268,10840.215,-109.933,288.364
39,240.596,9181.766,7389.124,10852.086,-177.173,241.593
40,290.885,9428.632,7861.123,11125.347,-89.415,291.957
41,232.708,9437.086,8127.840,11512.000,-110.985,232.915
42,316.522,9359.496,7923.735,11466.000,-30.411,317.791
43,324.410,9199.820,7315.017,11163.935,-28.443,325.244
44,241.582,9665.225,8186.468,11869.733,-142.001,241.942
45,253.415,9589.578,8177.434,11409.010,5.377,254.334
46,285.954,9673.094,8011.834,12024.921,176.424,286.542
47,254.401,9490.549,7827.846,11825.229,-160.931,255.309
48,295.815,9859.297,7934.059,12474.623,-136.219,297.080
49,264.261,9572.139,8212.025,11442.734,-23.114,265.599
50,235.666,9781.102,8322.202,11765.063,-117.860,235.868
51,309.620,9443.053,7751.415,11568.510,-116.811,310.417
52,259.331,9182.841,7330.313,11068.973,-129.890,260.130
53,266.233,9366.266,7761.760,11011.140,7.046,267.148
54,325.396,9545.550,8002.642,11675.378,-52.400,327.121
55,253.415,9147.132,7859.270,10880.524,-121.079,253.915
56,247.498,8731.562,7122.035,10826.433,-65.898,248.028
57,247.498,9288.158,7866.796,11132.405,18.869,248.706
58,277.080,9093.070,7854.371,10866.923,-37.606,278.262
59,247.498,9514.821,7882.183,11548.313,6.189,248.706
60,266.233,9334.471,7993.954,11249.871,-135.451,267.530
61,268.206,9280.730,7749.586,10925.583,-32.811,269.381
62,262.289,8917.408,7030.447,10846.290,-29.181,262.727
63,238.624,9184.085,7937.247,11165.876,-153.435,239.805
64,274.122,9121.220,7662.526,10662.017,-119.899,274.909
65,255.387,9118.535,7981.792,10806.409,-51.132,256.350
66,294.829,9467.774,7984.020,11718.555,-102.216,295.657
67,276.094,9328.589,7984.333,10912.579,-140.667,277.303
68,284.968,9233.379,7802.188,11150.000,-178.210,286.124
69,289.899,9463.571,8292.588,11489.429,-138.318,291.181
70,212.987,9577.326,7965.800,11328.018,-50.092,213.597
71,271.164,8639.688,7047.301,11040.891,-68.782,271.629
72,287.927,9353.262,7606.979,11207.959,-137.090,288.779
73,262.289,9284.191,7757.930,11617.290,-10.421,263.520
74,250.457,8868.064,6797.499,10721.237,-47.406,250.891
75,249.471,9235.269,7607.197,11213.521,-18.004,250.590
76,228.764,9405.045,7807.955,11771.062,-108.199,228.918
77,274.122,9388.278,7613.618,11401.385,-86.269,274.650
78,306.661,9414.284,8143.871,11712.375,-135.785,307.574
79,234.680,9264.055,7901.575,11130.471,-57.918,235.567
80,297.787,9264.197,7773.336,10986.729,51.072,298.688
81,264.261,9389.147,7661.966,11377.764,1.931,265.282
82,261.303,9521.362,7631.853,11726.111,-117.728,262.507
83,247.498,9340.490,7928.004,10859.243,-69.605,247.902
84,272.150,8818.499,7047.878,10478.595,21.801,272.721
85,266.233,9478.207,7939.663,11360.247,-23.703,266.783
86,272.150,9248.200,7771.755,11240.394,-103.885,273.111
87,283.982,9418.916,7820.009,11637.137,-32.196,285.145
88,216.931,9311.086,7734.295,11003.890,-73.301,217.712
89,271.164,9183.540,7388.854,11018.090,-42.780,271.939
90,279.052,8850.507,7247.725,10480.251,-117.929,279.852
91,269.192,9268.019,7788.155,11162.654,-53.509,270.499
92,218.903,9271.036,8134.854,11329.495,-121.097,219.174
93,240.596,9309.051,8101.000,10636.881,-144.545,241.373
94,231.722,9345.096,8093.231,10647.500,-2.203,232.534
95,233.694,9325.510,8143.645,10758.418,6.582,233.904
96,264.261,9400.065,7864.169,11093.918,-122.619,265.265
97,265.247,9038.242,7466.095,11035.921,27.997,266.533
98,318.494,8474.863,6508.375,10690.041,-14.036,319.351
99,243.554,9309.349,7831.146,11242.573,-93.489,244.732
100,258.345,9328.102,8050.302,10996.650,-99.246,259.567
101,275.108,8973.311,7177.108,10779.949,-37.117,276.454
102,271.164,8708.233,7485.810,11010.562,-42.780,271.939
103,208.056,8637.243,7270.088,10403.037,21.801,208.551
104,235.666,8954.129,7056.141,10967.776,-60.524,236.113
105,269.192,8062.398,6433.897,9882.909,-6.968,270.105
106,240.596,9018.553,7561.111,10885.420,-1.414,241.373
107,275.108,9152.936,7845.473,11313.392,-132.814,276.149
108,235.666,9255.156,7899.922,11318.055,-27.860,235.868
109,276.094,9093.609,7595.163,11274.333,-16.876,277.063
110,257.359,9331.680,7868.280,10939.059,-27.451,258.487
111,274.122,9087.860,7621.554,11316.433,-38.853,275.425
112,341.173,8800.611,7082.688,10888.007,-122.586,342.948
113,289.899,8945.548,7453.973,10688.304,-37.104,291.349
114,362.866,9224.280,7671.735,11230.566,13.696,364.876
115,350.048,9029.486,7423.425,10583.585,-141.189,351.724
