 ,Area,Mean,Min,Max,Angle,Length
1,90.348,4404.466,3635.772,5519.233,-154.772,176.242
2,113.588,4565.696,3698.286,5636.803,-151.484,221.570
3,97.398,4401.729,3558.809,5475.994,-72.150,190.043
4,97.659,4603.333,3299.815,5953.754,-118.831,190.740
5,103.665,4471.316,3617.504,6012.295,-112.286,202.124
6,88.259,4536.836,3657.707,5949.000,-114.740,172.168
7,85.648,4693.966,3710.967,5896.650,-123.398,167.097
8,88.781,4794.797,3798.937,6404.767,-44.284,173.453
9,98.443,4574.898,3412.269,6136.756,-26.565,191.962
10,88.520,4664.060,3599.227,5897.235,-152.526,172.788
11,104.971,4498.392,3595.210,6313.552,-137.726,205.107
12,94.004,4632.966,3767.144,6043.390,84.242,183.352
13,75.203,4606.083,3340.787,6599.635,-105.781,146.560
14,77.292,4602.518,3720.162,6016.887,-153.435,150.827
15,90.609,4544.398,3519.408,6097.008,81.027,176.927
16,107.843,4343.751,3501.719,5515.371,-67.733,210.379
17,135.522,3910.477,2874.786,5215.240,16.128,264.903
18,113.849,4693.010,3862.050,5989.803,99.137,222.036
19,109.671,4631.425,3547.852,5983.185,-166.759,214.182
20,115.677,4615.167,3767.889,5899.317,137.752,225.731
21,105.232,4713.831,3758.602,5780.763,-34.046,205.365
22,83.559,4747.604,3727.714,5802.648,-75.311,163.234
23,102.621,4580.308,3223.109,6139.046,-118.330,200.284
24,93.220,4591.595,3541.459,6422.000,-126.098,182.137
25,126.644,4462.907,3442.861,5743.781,-126.941,247.426
26,128.733,4718.480,3635.490,6121.388,34.563,251.309
27,104.187,4798.896,3787.221,6127.089,-108.025,203.127
28,107.060,4593.471,3595.279,5897.030,-49.764,208.848
29,85.387,4581.466,3732.562,5927.767,-39.401,166.646
30,110.715,4522.441,3518.201,5916.229,-31.661,216.126
31,98.182,4544.766,3628.365,5819.394,-82.648,191.668
32,104.710,4675.411,3807.311,6405.876,10.382,204.165
33,123.510,4449.354,3490.605,6053.450,-130.365,241.437
34,80.948,4534.715,3486.910,6023.578,-120.296,158.018
35,97.137,4579.100,3725.016,5683.546,-80.233,189.776
36,86.431,4633.340,3562.455,5980.173,-89.479,168.637
37,100.793,4579.064,3662.029,5783.426,-141.968,196.571
38,97.920,4546.242,3473.681,6307.620,11.581,190.912
39,112.282,4786.268,3675.518,6096.014,-92.403,219.412
40,110.976,4502.572,3579.297,5973.063,-37.519,216.474
41,101.315,4745.198,3628.728,6394.395,-105.762,197.519
42,121.160,4185.430,3175.797,5845.013,-2.974,236.400
43,112.543,4706.823,3679.999,6317.278,-119.249,219.626
44,94.265,4528.707,3495.800,5824.728,-114.642,183.839
45,94.787,4577.385,3393.835,5991.330,-31.452,185.093
46,100.793,4500.171,3502.883,5669.844,-148.042,196.947
47,118.027,4505.705,3391.863,6100.640,-148.318,230.588
48,116.982,4516.628,3640.480,5716.627,-49.899,228.474
49,85.909,4599.230,3712.142,5752.619,-94.720,167.666
50,87.214,4077.848,2961.964,5456.000,0.516,170.170
51,109.932,4477.873,3406.898,6305.148,-107.013,214.822
52,90.609,4392.749,3117.143,5888.313,-11.505,176.781
53,93.742,4248.933,3241.011,5710.961,-145.244,182.858
54,107.843,4268.877,3440.877,5871.907,-81.634,210.730
55,115.938,4257.046,3256.028,5568.457,-75.493,226.438
