 ,Area,Mean,Min,Max,Angle,Length
1,1042171.935,3995.748,2447,5661,-82.349,662.768
2,1068268.085,3072.569,1264,5210,-82.260,679.398
3,963285.415,2552.075,1136,3858,-43.919,612.478
4,1170303.124,3154.846,1653,5478,-46.779,744.444
5,1144738.295,2833.652,540,6073,-124.881,762.884
6,983475.623,2412.663,552,4647,-92.496,675.483
7,819534.984,3748.903,1949,5912,-17.526,520.916
8,846789.895,2645.388,1246,4510,-13.699,538.189
9,899302.590,3018.265,1336,4734,-22.166,571.667
10,1180077.833,3313.263,1555,5301,-36.770,750.661
11,892347.354,4118.023,1810,7531,-41.815,686.220
12,1255346.562,3666.546,1990,5444,-43.025,804.645
13,1074352.915,2931.756,1506,4615,-4.252,683.258
14,1168727.850,2950.679,1420,5846,-6.563,743.439
15,1075567.745,2131.521,692,4024,-26.075,684.004
16,921724.880,3954.326,1663,6217,-71.464,585.957
17,842886.420,3491.657,1779,5140,2.025,647.468
18,963234.686,3770.400,1820,5654,153.178,651.833
19,988057.267,2104.315,529,3702,-112.964,628.221
20,1018857.880,1943.550,827,3181,-42.138,647.839
21,1135914.091,1663.777,319,2958,-127.280,731.070
22,1102507.601,1391.543,296,2844,-37.122,741.843
23,1379851.950,1657.856,556,3226,-60.573,877.992
24,917322.123,2894.826,1450,4319,-83.608,792.515
25,988772.815,2692.848,1362,4089,-83.134,628.697
26,833028.942,2485.265,1288,3913,-83.621,529.426
27,1096946.083,3028.943,1491,4595,-105.836,706.561
28,869110.727,2174.527,722,4735,-169.614,616.313
29,1403214.065,1626.726,693,2911,-77.744,892.906
30,767628.370,2650.246,1393,5026,-97.331,563.434
31,1296354.417,2653.323,1195,4022,-114.585,824.775
32,1093309.603,1924.822,818,3404,-114.578,695.359
33,989512.393,2020.335,588,3382,-116.365,629.177
34,821769.738,2720.207,1166,4722,-10.341,700.933
35,1072390.497,2555.618,1214,4153,175.328,682.011
36,1125554.661,2387.161,1100,3800,168.947,715.901
37,917228.674,2460.903,1198,3784,170.372,742.491
38,1053019.967,2416.237,865,5068,158.380,669.665
39,1108066.449,2306.677,959,4422,-45.188,704.805
40,967039.374,1675.485,592,2993,-43.708,614.836
41,1057003.541,1565.628,388,3835,-58.636,681.253
42,931531.629,1995.384,552,3568,-152.885,609.471
43,1095239.981,2262.108,625,3883,-92.151,696.575
44,1080864.938,1447.534,0,3256,-107.143,687.407
45,863877.614,1740.806,712,2951,-99.058,570.849
46,1013731.564,1670.294,695,3140,-109.788,656.413
47,759391.555,1123.570,280,2355,-112.249,543.756
48,908671.465,1410.475,534,3070,-138.122,636.421
49,1407715.611,1512.079,767,2863,-13.073,895.772
50,1057406.704,1137.105,402,2037,-154.680,672.446
51,1067589.916,1446.796,402,2913,-161.478,678.966
52,1487985.168,2231.279,961,3664,-6.340,946.976
53,1103463.445,2193.728,1213,3327,-4.808,701.822
54,977975.513,2254.652,1119,3550,-155.545,694.681
55,1128779.968,1907.824,920,3104,-158.925,717.964
56,888160.863,1798.398,879,2823,-163.241,600.681
57,1043517.593,2151.038,820,3938,-178.589,663.605
58,1120641.942,1889.122,604,3121,-156.491,712.761
59,1301825.156,1783.774,765,2854,-83.884,828.249
60,1189465.398,1509.792,590,2494,-78.035,756.641
61,1201119.756,1036.348,130,2920,-39.272,764.076
62,1124652.216,1050.175,324,2288,-77.869,715.326
63,1161823.344,943.211,306,1749,177.973,739.031
64,1032418.586,1458.391,586,3303,-74.407,656.520
65,1057788.508,2057.802,537,5040,-68.483,672.704
66,1142591.650,2651.785,1525,3863,-8.403,726.763
67,1153487.741,2599.992,1102,3837,-6.650,733.701
68,977524.291,1584.378,570,2724,-15.242,621.541
69,1019610.807,1879.047,819,3189,-49.740,685.192
70,1172310.931,2223.513,971,3644,-39.130,745.684
71,774329.959,1981.776,543,3844,-40.653,594.437
72,929208.767,2004.261,398,3785,-47.637,778.417
73,1124446.629,2362.020,980,3957,-17.690,715.196
74,1104203.023,1692.338,219,3684,-3.468,702.272
75,1059467.910,1994.631,770,3369,-31.917,673.763
76,871209.313,2339.389,1059,5058,-59.744,590.207
77,901769.629,2619.017,1215,5156,-176.077,573.243
78,1063905.377,1940.494,40,3635,1.107,676.602
79,1144305.762,1537.716,629,3203,-67.634,738.575
80,1082210.596,1821.430,617,3128,175.643,688.269
81,1436297.490,1691.947,410,4307,176.002,913.996
82,1053909.062,1355.372,409,2873,-178.324,670.227
83,1183028.134,2523.745,1162,4257,167.714,752.535
