 ,Area,Mean,Min,Max,Angle,Length
1,570991.450,6666.209,3952,9747,-122.125,580.753
2,530341.370,6139.212,2783,9168,-123.883,539.299
3,555300.119,6318.629,3587,8996,-131.716,564.769
4,588057.809,6307.557,3564,9317,-129.124,598.180
5,573292.952,6872.813,4492,9865,-159.839,583.121
6,530891.381,5568.823,2481,10151,-66.073,539.863
7,471653.067,6327.869,3357,9549,-43.128,530.617
8,399171.772,6089.289,3516,9079,-103.280,540.605
9,492470.714,6658.057,4009,9573,-87.007,500.687
10,592182.891,7791.003,3550,12854,-166.190,602.386
11,535601.183,9614.078,4369,14785,-149.744,544.806
12,691168.840,8846.720,2088,14110,-87.337,703.380
13,516334.781,8505.647,3686,12875,-18.886,525.000
14,585059.448,8299.914,3470,12592,-173.695,595.108
15,577588.912,9053.829,4568,13772,-116.423,587.522
16,494489.201,8077.382,4473,12124,-110.556,502.592
17,513389.820,8846.361,4601,13101,-98.460,522.024
18,493770.983,7924.782,4096,12124,-116.482,502.024
19,526774.309,7109.921,3692,11203,-123.302,535.683
20,597723.050,8301.801,3602,15365,-144.516,608.026
21,649752.482,9976.438,4265,16803,-50.013,661.114
22,566858.358,7098.781,1947,11182,-44.426,576.580
23,505484.080,9371.960,4280,13855,-172.694,513.981
24,524374.018,9233.669,4424,13938,170.653,533.228
25,489346.866,11019.616,6680,15936,-47.929,497.477
26,511707.747,9057.086,1810,15315,-53.814,520.303
27,495039.212,6845.980,2889,11310,-0.744,503.314
28,564690.354,7684.953,3302,12512,-136.037,574.334
29,480752.277,6093.821,2721,10429,-79.404,488.730
30,572585.414,6522.737,2920,12249,-36.098,582.410
31,626953.728,5448.748,2083,10481,-134.377,637.825
32,560055.310,8738.945,4268,13224,-45.581,569.648
33,568764.707,8206.644,3358,12108,-61.118,578.494
34,518865.899,8694.851,3178,14720,-63.911,527.618
35,550985.470,6912.429,3888,11067,-159.874,560.364
36,641149.884,9887.354,4847,14323,-155.746,652.357
37,400723.016,9394.609,4409,14534,-19.077,414.949
38,549594.423,7149.236,1053,14433,-122.343,558.938
39,509547.753,8015.880,2748,14426,-82.023,518.089
40,551567.520,9040.513,3471,15571,-84.987,560.974
41,526309.737,9499.122,5013,14239,169.445,535.204
42,513603.416,8897.414,3690,13894,-126.476,522.239
43,612987.188,7852.883,1755,13051,-78.513,623.606
44,510372.769,9330.777,3130,14318,-130.492,558.637
45,599541.290,9817.420,4220,15475,-67.971,609.891
46,572238.320,9528.760,4008,15972,-102.319,582.034
47,515648.602,7289.992,2311,13955,-138.411,524.331
48,578315.140,9228.269,5186,12915,-179.682,588.249
49,614562.462,9861.351,6960,13560,113.081,625.214
50,536439.550,9218.235,4835,13168,127.459,572.257
51,540140.109,6646.663,3609,10692,-33.596,549.267
52,672212.152,7685.881,4209,12239,-157.233,684.020
53,545640.218,8410.132,4145,12599,-149.962,554.925
54,503561.711,8171.634,2676,12403,-131.974,547.273
55,570516.198,7525.157,2648,14326,-117.503,580.291
56,479857.842,8652.633,4053,12979,-160.837,487.819
57,544913.990,7783.706,2675,12072,175.264,554.184
58,518935.318,9054.819,4864,13143,-144.834,527.688
59,543098.420,7724.956,3096,12070,-52.452,552.331
60,570783.194,7747.494,3653,12227,-123.288,580.551
61,559230.294,8692.433,3854,13482,-96.267,568.763
62,562872.114,8335.422,4171,12549,-92.617,572.497
63,570879.312,8015.053,3682,14169,-16.344,580.659
64,598038.105,7899.446,4080,11228,-151.439,608.351
65,451858.014,9822.862,6258,14391,150.489,497.566
66,553172.164,9581.178,6068,13789,175.001,562.602
67,583476.165,7947.975,2216,13295,-169.371,593.522
68,546385.136,6581.592,2403,10659,-140.130,555.668
69,612749.562,7431.309,2565,11910,-138.527,676.042
70,522360.872,7701.704,4206,11686,-102.796,531.171
71,501666.043,9682.088,6528,14186,-129.764,582.447
