 ,Area,Mean,Min,Max,Angle,Length
1,93838.274,7188.555,5114,9888,-102.482,134.172
2,89838.679,7063.037,4329,9387,-98.509,209.827
3,86079.381,7188.140,4852,9496,-89.534,200.989
4,93715.456,7409.370,5373,9828,-89.572,218.962
5,91632.890,7065.043,4917,9605,-0.437,214.060
6,89181.870,6966.151,3848,9581,-4.950,208.295
7,90273.882,6956.626,4879,9138,-12.529,210.906
8,85516.021,6863.817,4175,9555,-111.105,199.669
9,91798.427,7367.708,5482,9531,-176.505,214.453
10,91993.334,6528.157,3818,9195,-135.616,214.919
11,88621.180,7138.236,4629,9873,-151.209,206.958
12,98678.904,7251.835,4599,9905,-159.254,230.643
13,82085.127,6772.887,4381,9515,-151.468,191.569
14,88204.666,6883.959,4268,9353,-141.766,205.942
15,102777.286,6823.548,4606,10000,-88.441,240.287
16,91958.625,6733.376,4124,9314,-68.118,214.826
17,100131.360,7339.100,4815,9881,-77.905,233.953
18,87243.482,7344.468,4717,10516,-59.115,203.726
19,88493.022,7372.618,5025,9992,-33.062,206.667
20,85620.149,7159.972,4337,10038,-32.651,199.890
21,98609.485,6863.067,3800,10026,-18.178,230.458
22,86087.391,7276.373,4657,10363,-135.659,201.055
23,92086.782,7106.649,4707,10122,-128.524,215.124
24,96353.372,7503.242,4759,10095,-142.964,225.166
25,94951.645,6705.249,3708,10700,-170.676,221.887
26,101469.008,7080.665,5237,9410,-138.071,237.200
27,100614.622,6990.538,4467,9311,-145.758,235.217
28,94665.960,7387.664,4191,10797,-138.894,221.194
29,96329.343,7499.250,5359,10286,-103.431,225.113
30,91563.471,7486.307,4982,9918,-96.582,213.829
31,128673.190,7251.311,4837,9518,-49.399,301.295
32,96385.412,6883.653,4781,9214,-56.540,225.237
33,98147.583,6916.268,4377,9627,-56.310,229.767
34,105116.168,6820.905,3838,10092,-58.318,245.780
35,97570.872,7130.400,4957,9490,-106.227,228.041
36,84221.092,6520.559,4424,9724,-117.204,196.583
37,98302.440,6716.940,4135,9309,-127.196,229.744
38,105116.168,6388.766,3105,9326,-37.708,245.780
39,93168.115,6090.777,2771,9426,-41.348,217.660
40,93021.267,5286.504,2921,8391,-36.439,217.328
41,84178.373,6421.101,3993,9229,-141.415,196.495
42,89448.866,7062.146,4209,9427,-146.807,208.928
43,88920.215,6087.694,2670,8787,-121.814,207.672
44,85267.715,6806.477,3929,9370,-163.796,199.087
45,84552.167,6603.799,4055,9441,-162.165,197.396
46,85224.996,7150.908,5116,10095,-160.821,198.953
47,100692.051,6323.161,2973,10084,-91.193,235.347
48,91915.905,7586.551,4567,10659,-36.957,214.708
49,82819.365,7618.361,4951,10189,-35.875,225.853
50,92973.208,6441.594,3472,8906,-31.777,217.199
51,107561.847,7119.137,5031,9793,-101.237,251.556
52,103925.367,6409.604,2748,9120,-102.821,242.988
53,107583.207,6697.476,3242,9281,-96.340,251.540
54,98302.440,7173.225,4537,10276,-127.196,229.744
55,88450.302,6543.929,3556,9135,-36.961,206.538
56,94665.960,7099.581,5132,9352,-41.106,221.194
57,96449.491,7156.325,4997,10167,-43.531,225.379
58,101367.549,6919.944,3837,9538,-136.956,236.998
59,99397.122,7260.030,5026,9608,-136.425,232.310
60,88920.215,7083.190,4736,9945,-10.426,207.679
61,94967.665,6624.361,3276,9780,-13.627,221.935
62,94337.555,6919.342,3854,9695,-74.521,220.414
63,108079.819,7454.567,5240,10214,-73.088,252.763
64,101436.968,6538.618,3446,9729,-70.821,238.743
65,97322.566,7231.474,5407,9870,-107.526,227.901
66,96631.048,6921.136,4915,10112,-108.566,225.806
67,97602.912,6947.359,4364,9747,-58.473,228.117
68,94414.984,6697.135,3907,9535,-67.805,220.596
69,103052.292,6553.936,3889,9087,-69.353,240.969
70,116791.885,5201.180,2311,9482,-131.121,273.303
71,99333.043,5664.234,2482,10586,-177.983,232.172
72,136600.289,6181.888,2870,8921,-40.443,319.905
73,91363.224,6874.867,4959,9111,-49.970,213.398
74,100884.287,6862.937,3850,9156,-43.877,235.749
75,90842.583,6650.100,4095,9131,-60.474,212.200
76,90775.834,6939.907,4643,10175,-61.460,212.043
77,90372.671,6989.307,5161,9362,-129.976,211.096
78,93961.092,6560.432,4389,9548,-156.297,219.498
79,95675.203,6220.197,2094,9547,-144.219,223.572
80,95803.361,6041.658,3211,9190,-179.164,223.882
81,88378.214,7478.403,5779,9701,-66.682,206.402
82,90799.864,7360.390,5172,9998,-68.772,212.106
83,92401.837,6208.242,2221,9365,-66.346,215.849
84,104168.333,6503.643,2591,11430,-168.389,243.548
85,72689.552,6334.519,3078,9654,-56.004,169.496
86,90634.326,7368.248,5340,9660,-42.184,211.696
87,98580.115,6570.852,3557,9960,-48.738,230.417
88,87526.498,7350.948,4690,10077,-34.579,204.413
89,80499.173,7043.509,2586,10758,-64.772,187.853
90,98500.017,5936.760,3638,9762,-154.344,230.214
91,96051.667,7339.416,4596,9903,-73.940,224.448
92,106961.107,7690.939,4642,10354,-72.512,250.125
93,94228.087,7411.074,4981,10220,-11.560,220.154
94,85678.888,7104.638,4594,9814,-20.063,200.050
95,100395.686,7322.632,4457,10044,-70.051,234.671
96,93202.824,7209.790,4556,10106,-116.757,217.764
97,95782.002,7443.995,5081,10393,-106.980,223.810
98,102766.606,7318.069,5133,10142,-107.819,240.287
99,86717.501,6902.163,4603,9296,-45.000,203.353
100,97538.833,6920.406,4696,9366,-41.804,227.971
101,118329.780,6646.049,2854,9500,-120.500,276.875
102,83473.504,6458.779,4283,8858,-107.067,194.857
103,109980.828,5160.539,2088,9073,164.904,257.245
104,115083.113,6321.891,2382,10690,-95.572,269.248
105,95066.453,6850.480,4483,9165,-137.981,222.140
106,91413.954,6562.656,4439,8529,-148.134,213.561
107,92853.060,6910.113,4476,8932,-149.184,216.898
108,90119.025,7056.012,5042,9113,-152.241,210.501
109,93974.441,6631.241,4065,9309,-94.268,219.565
110,130790.465,4305.882,2377,7247,-154.392,306.226
111,100710.740,6594.604,3443,9220,-121.373,235.398
112,105465.932,6115.829,3152,9774,-147.039,249.275
113,98537.396,7065.535,3601,9724,-21.650,230.301
