 ,Area,Mean,Min,Max,Angle,Length
1,1646831.531,4327.904,2489,6685,-10.008,902.631
2,1637075.512,3791.032,1481,7274,-107.199,862.083
3,1416940.309,4061.190,1397,6783,-106.481,863.935
4,1572032.713,3437.772,1368,7502,-5.778,827.742
5,1292304.093,3566.035,1496,6581,-7.516,949.341
6,1527692.754,3852.712,1389,7974,-88.137,804.353
7,1082976.873,3014.356,1403,5142,-86.262,651.718
8,1434054.727,3579.183,1081,5925,-144.999,811.876
9,1850861.558,1691.259,0,4513,-53.245,974.846
10,1159823.546,2533.238,667,4750,-110.861,610.272
11,1588824.067,2446.902,702,4742,103.901,836.598
12,1766568.378,1602.402,445,12586,-96.251,930.376
13,1446368.564,3211.289,806,5380,-90.000,761.444
14,1913747.032,4647.730,2006,8278,16.613,1040.159
15,1524811.872,2800.166,871,5515,-5.961,818.156
16,1560810.888,3609.919,1656,5580,-166.430,877.444
17,1855544.661,3578.692,1103,5691,-14.524,977.319
18,1740031.685,2978.939,1037,5732,-149.457,916.372
19,1999727.625,2666.179,6,5492,-69.288,1053.383
20,1348629.485,3282.277,824,5589,19.115,958.059
21,1657484.655,2688.962,453,4885,-115.030,872.825
22,1304073.259,3988.789,2096,5609,-112.847,1047.905
23,1693251.386,3085.028,696,5162,-113.088,891.691
24,1824247.437,4205.664,1922,7013,-89.708,960.805
25,1173667.268,4318.777,2180,7440,-102.144,792.246
26,1742106.241,4280.235,1894,7153,-120.859,917.470
27,1840563.538,4630.802,1198,7778,-75.355,969.412
28,1085195.606,4086.388,1198,6996,-96.554,773.032
29,1144890.483,4507.129,2230,8285,-93.421,602.386
30,1555385.538,3464.194,863,7066,-98.259,818.958
31,1746639.826,3678.473,1581,5814,-18.435,919.755
32,1337164.694,3791.730,1266,7207,-140.842,703.835
33,1762654.222,4244.741,1516,6798,-115.212,928.308
34,2006741.600,3989.210,979,7542,-151.771,1057.106
35,1980485.252,3690.418,134,7350,-174.968,1043.245
