 ,Area,Mean,Min,Max,Angle,Length
1,40555.209,3661.092,2355,5124,-114.305,135.106
2,39261.513,3465.460,2267,5089,-114.360,130.805
3,39340.397,3167.415,2222,4568,-168.860,131.063
4,34645.818,3612.031,2459,5191,-7.921,115.295
5,40909.201,3772.381,2603,5289,-3.759,136.334
6,40710.019,3805.049,2449,5282,5.460,135.664
7,46587.857,3492.870,1824,5225,-38.774,155.391
8,45770.422,3781.514,2324,5404,-95.599,152.657
9,43644.501,3787.555,2076,5756,-20.785,145.511
10,34025.593,3832.315,2639,5591,-68.385,113.219
11,44967.779,3524.108,1625,5246,-126.111,149.956
12,41548.161,3778.897,2462,5329,66.100,138.482
13,52376.951,4067.132,2760,5675,4.561,174.825
14,45198.514,3824.822,2534,5486,-156.306,150.733
15,43137.672,4032.394,2572,5987,-140.042,143.797
16,47955.507,3808.069,2341,5510,-170.713,159.984
17,37544.802,3701.157,2626,5296,-113.477,125.043
18,37756.802,3850.083,2542,5459,-158.703,125.763
19,43775.645,4186.010,2859,5713,-165.018,145.968
20,41048.234,4222.681,3060,5655,-166.569,136.804
21,36328.017,4217.156,3130,5706,-167.675,120.955
22,36043.049,4206.458,3139,5807,-167.574,119.985
23,41431.807,3945.396,2746,5665,-167.963,138.084
24,36450.287,3860.066,2282,5382,-76.759,121.394
25,35884.295,3747.452,2082,5459,-63.861,119.462
26,40596.623,4054.316,2820,5505,-86.634,135.281
27,45044.690,4017.806,2430,5592,-58.517,150.209
28,44132.595,3737.733,2477,5426,-111.371,147.152
29,41386.449,3607.580,1941,5214,-130.914,137.973
30,38229.120,3950.589,2397,5534,-138.478,127.325
31,37690.737,4165.295,2661,6614,-143.039,125.515
32,38092.059,4279.223,2737,6229,-107.301,126.887
33,39262.499,3989.863,2907,5651,-105.408,130.812
34,40238.688,3949.421,2468,5654,-178.727,134.088
35,46283.168,4026.157,2332,5698,-13.768,154.379
36,45342.477,3444.263,2091,5638,-21.173,151.213
37,47160.752,3770.433,2567,5917,-61.332,157.311
38,39414.351,4199.977,3046,5941,-45.919,131.320
39,39436.044,3496.206,1920,5199,-55.469,131.384
40,39630.295,3525.514,2052,5293,-74.291,132.035
41,39672.695,4207.865,3042,6034,-131.955,132.192
42,39757.496,4352.874,3117,6173,-75.235,132.472
43,37714.402,3795.790,2303,5739,-78.601,125.610
44,64082.338,3679.761,1835,5586,-130.486,214.120
45,37390.978,3968.600,2557,5615,164.745,124.541
46,41980.050,3459.914,2065,5267,-13.543,139.932
47,40466.465,4030.187,2742,5634,-76.373,134.873
48,43069.634,3854.530,2440,5697,-85.236,143.488
49,38002.328,4145.836,2667,5811,-62.430,126.583
50,39352.230,4397.324,3162,5922,179.132,131.091
51,41171.490,4290.613,2971,5997,177.096,137.210
52,40615.358,4299.714,3147,6197,-176.214,135.343
53,40848.066,4121.086,2861,5921,-87.910,136.132
54,39357.160,4153.269,2966,5690,-88.698,131.110
55,34910.079,3832.388,2267,5709,-90.979,116.198
56,42238.395,3838.735,2549,5628,-57.095,140.747
57,40309.683,4070.049,2609,5862,-3.814,134.353
58,49136.794,3713.265,2161,5782,-114.702,163.953
59,47815.488,4094.155,2827,5686,-114.651,159.515
60,42797.485,4074.297,2150,5762,-73.836,142.674
61,40859.898,3582.515,2235,5329,-92.508,136.171
62,41644.793,3464.639,2056,5443,-59.950,138.811
63,38420.413,3861.996,2574,5585,-111.389,127.974
64,43003.569,4103.165,2452,5977,-74.327,143.357
65,38394.776,4031.928,2761,5801,-166.072,127.885
66,38747.782,3951.173,1968,5623,-172.930,129.079
67,36730.325,3763.730,1867,5803,-137.632,122.304
68,39962.594,4164.155,2575,5926,177.863,133.155
69,44222.326,4047.338,2395,5644,167.555,147.450
70,40291.934,4013.005,2477,5802,-42.302,134.261
71,35777.802,4250.143,2874,5940,-151.085,119.114
72,41050.206,3794.335,2407,5502,-64.179,136.789
73,40021.757,4327.132,2903,5926,-45.000,133.410
74,39613.533,4204.041,2934,5995,-45.610,132.013
75,38022.049,3952.828,2131,5845,-28.575,126.642
76,47423.041,4226.380,2966,6038,-65.526,158.199
77,43435.458,4233.869,3079,6058,-69.950,144.818
78,45685.622,3854.717,2213,5596,-69.794,152.370
79,37449.155,3844.673,2462,5786,-26.565,124.343
80,45672.804,3592.124,1759,5558,-67.782,152.315
81,40926.950,3675.270,2205,5604,-121.608,136.417
82,45833.530,4050.098,2847,5646,-118.729,152.874
83,31401.716,4128.111,2814,5816,-147.454,117.210
