 ,Area,Mean,Min,Max,Angle,Length
2,3056875.380,9179.910,4685,13464,0.000,1226.790
3,2745580.556,7808.367,3242,12542,9.462,1099.094
4,3141979.514,8611.753,3156,12180,164.025,1261.232
5,3039601.321,7870.650,3686,12911,6.266,1219.813
6,3744943.661,7986.109,3262,13444,-3.260,1505.016
7,2765929.578,8306.744,4174,12650,5.906,1109.047
8,2974032.248,8408.749,4931,12779,5.029,1193.344
9,3087172.813,8643.588,5384,13565,10.620,1238.493
10,2574558.327,7814.966,4105,13559,-157.218,1031.473
11,2284336.046,8765.239,4571,12634,-141.340,913.406
12,2483846.906,9111.870,5120,14214,-141.597,995.102
13,2546069.695,9759.421,5484,14333,-73.761,1020.233
14,2915788.824,9997.960,6406,13762,-36.404,1169.769
15,2904755.132,9846.107,4968,14515,15.624,1165.237
16,2710941.998,9880.567,5565,14227,-122.856,1086.806
17,3467654.314,8843.338,4715,13985,-56.418,1392.655
18,2022240.636,8717.748,4715,13028,143.130,808.350
19,3008309.046,9113.392,4915,13869,-68.995,1207.152
20,3141255.993,5704.774,3409,8365,-33.930,1260.784
21,3600691.701,5260.350,2273,9678,-39.130,1446.646
22,3331270.643,5974.843,3262,9019,-32.221,1337.702
23,3436904.680,6142.410,3806,9083,-71.940,1380.392
24,2463678.764,6322.582,2141,11449,-25.084,987.026
25,3148762.522,6723.829,2961,9235,-39.198,1263.972
26,3003877.481,7161.679,3641,9593,-34.066,1205.409
27,3715460.188,7517.102,3320,12203,-115.259,1493.191
28,3219758.000,6301.523,2985,9416,-116.188,1292.940
29,3288673.356,5849.302,1929,10864,-101.634,1320.487
30,3452912.578,5203.132,2575,11001,-132.221,1386.896
31,3000802.518,6760.481,3137,12125,-133.400,1204.170
32,3173362.229,6580.627,3828,11173,-173.140,1273.950
33,3328376.560,7573.633,3012,11717,-151.064,1336.586
34,3574735.393,7206.190,3274,13116,1.138,1436.293
35,3225817.487,7029.437,3330,12501,2.946,1295.072
36,3200313.379,6223.064,1984,12069,-145.251,1284.730
37,3115390.125,7770.294,2985,12351,8.746,1250.845
38,2718719.846,6397.806,2032,10180,6.009,1090.130
39,2523007.470,7157.166,4150,12066,-131.186,1010.927
40,2840723.541,7586.657,4565,11342,-127.539,1139.376
41,2975117.530,6816.011,3063,11642,-22.479,1193.874
42,3879880.290,7211.838,2390,11609,-67.031,1559.669
43,2412399.227,5282.167,198,10306,-20.754,966.143
44,3189460.567,7766.349,3071,12640,-21.801,1280.323
45,3359849.715,8527.004,4744,12775,13.449,1349.382
46,2949161.221,6197.969,2542,12154,-36.501,1183.068
47,3382640.620,7287.003,2542,11113,-33.579,1358.366
48,3133387.705,7925.798,4396,13302,-45.919,1257.659
49,2611186.567,7979.450,4135,12993,1.562,1046.489
50,2768371.461,6576.186,1787,11574,-6.394,1110.066
51,2738074.027,5425.973,124,11705,-46.364,1130.051
52,2899057.405,7181.972,1980,11508,11.310,1163.800
53,3418454.900,7353.997,3394,12377,-15.673,1372.936
54,2793513.809,5385.117,2018,9641,-52.936,1120.284
55,2878346.623,4280.079,2353,8490,-126.964,1154.516
56,2462774.363,4270.395,2406,6644,-152.447,986.843
57,3053257.776,4967.438,2775,8651,-164.238,1225.315
58,2298987.342,10223.468,4266,16670,-66.879,920.311
59,2843255.864,8322.071,4266,14684,-65.358,1140.447
60,3278091.865,10292.452,3418,15985,-66.584,1316.165
61,2618693.095,11226.794,6149,16930,22.380,1049.035
62,2174360.884,11394.257,6924,17431,-74.141,869.996
63,2801382.098,11861.737,5848,18447,28.301,1123.308
64,3049911.492,11473.669,8100,17267,-44.370,1223.948
65,3183220.200,9290.408,5457,16881,-14.657,1277.884
66,3707501.459,12666.512,5327,18038,-24.111,1489.917
67,3383454.581,9711.025,5086,15912,-43.299,1358.965
68,3155093.329,10926.466,6170,16952,-100.382,1266.545
69,3554657.690,12555.530,7429,17899,-2.672,1428.052
70,3453816.979,9612.290,6232,16586,-118.673,1387.417
71,2467296.368,8806.805,6232,13943,-120.018,988.491
72,2724146.252,10906.359,4174,17094,-125.074,1092.285
73,2721704.369,10465.090,4879,16028,-96.506,1091.166
74,2611729.208,8641.418,2842,16256,-151.805,1046.662
75,3257652.402,10803.968,1401,16327,13.026,1307.997
